id,Kanji,Strokes,Grade,"Kanji Classification",JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo","# of On","On within Joyo","Kanji ID in Nelson","# of Meanings of On","Translation of On","# of Kun within Joyo with inflections","# of Kun within Joyo without inflections","Kun within Joyo","# of Meanings of Kun","Translation of Kun","Year of Inclusion"
1238,喪,12,7,"会意 Com. Ideographic",1,"Kuchi, Kuchihen",ソウ、も,うしな,1,soo,853,1,mourning,1,1,mo,1,mourning,1981
1239,痩,12,7,"形声 Phonetic",-,Yamaidare,ソウ、や-せる,,1,soo,3832,1,"get thin",1,1,ya(seru),1,"get thin",2010
1240,葬,12,7,"会意 Com. Ideographic",1,Kusakanmuri,ソウ、ほうむ-る,,1,soo,5128,2,"bury, shelve",1,1,hoomu(ru),2,"bury, shelve",1981
1241,装,12,6,"形声 Phonetic",2,"Koromo, Koromohen",ソウ、ショウ、よそお-う,,2,"soo, 	shoo",5455,5,"dress; spruce up; pretend, disguise; profess",1,1,yosoo(u),5,"dress; spruce up; pretend, disguise; profess",1981
1242,僧,13,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ソウ,,1,soo,300,2,"monk, priest",0,0,-,0,-,1981
1243,想,13,3,"形声 Phonetic",2,"Kokoro, Risshinben, Shitagokoro",ソウ、[ソ],おも,2,"soo, [so]",1922,3,"idea, conception, thought",0,0,-,0,-,1981
1244,層,14,6,"形声 Phonetic",2,Shikabane,ソウ,,1,soo,1432,9,"(social) class; stratum, layer, seam, bed, formation; story, floor; course (of stones)",0,0,-,0,-,1981
1245,総,14,5,"形声 Phonetic",2,"Ito, Itohen",ソウ,ス、ふさ、すべ,1,soo,4532,6,"whole, all, general, gross, total, full",0,0,-,0,-,1981
1246,遭,14,7,"形声 Phonetic",1,Shinnyoo,ソウ、あ-う,,1,soo,6105,2,"meet, interview",1,1,a(u),2,"meet, interview",1981
1247,槽,15,7,"形声 Phonetic",1,"Ki, Kihen",ソウ,,1,soo,2844,3,"tub, tank, vat",0,0,-,0,-,1981
1248,踪,15,7,"形声 Phonetic",-,"Ashi, Ashihen",ソウ,,1,soo,5887,3,"remains (of something); clue, footprint",0,0,-,0,-,2010
1249,操,16,6,"形声 Phonetic",1,Tehen,ソウ、みさお、あやつ-る,,1,soo,2296,4,"manipulate, operate, steer; pull strings",2,2,"misao, ayatsu(ru)",9,"manipulate, operate, steer; pull strings. chastity, virginity, constancy, fidelity, honor",1981
1250,燥,17,7,"形声 Phonetic",2,"Hi, Hihen, Renga",ソウ,,1,soo,3493,1,"dry up",0,0,-,0,-,1981
1251,霜,17,7,"形声 Phonetic",1,"Ame, Amekanmuri",ソウ、しも,,1,soo,6542,1,frost,1,1,shimo,1,frost,1981
1252,騒,18,7,"形声 Phonetic",1,"Uma, Umahen",ソウ、さわ-ぐ,,1,soo,6760,11,"make a noise, be boisterous, shout, clamor; raise an uproar; be excited, be agitated; bustle around; make a fuss about; make merry, go on a spree",1,1,sawa(gu),11,"make a noise, be boisterous, shout, clamor; raise an uproar; be excited, be agitated; bustle around; make a fuss about; make merry, go on a spree",1981
1253,藻,19,7,"形声 Phonetic",1,Kusakanmuri,ソウ、も,,1,soo,5254,2,"duckweed, seaweed",1,1,mo,2,"duckweed, seaweed",1981
1254,造,10,5,"会意 Com. Ideographic",2,Shinnyoo,ゾウ、つく-る,な,1,zoo,6061,17,"make, create, manufacture, prepare, draw up, write, compose; build; coin; cultivate; organize, establish; make up (a face), trim (a tree); fabricate; prepare food; commit (sin) ",1,1,tsuku(ru),17,"make, create, manufacture, prepare, draw up, write, compose; build; coin; cultivate; organize, establish; make up (a face), trim (a tree); fabricate; prepare food; commit (sin) ",1981
1255,像,14,5,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",ゾウ,かた,1,zoo,308,5,"image, statue, figure, picture, portrait",0,0,-,0,-,1981
1256,増,14,5,"形声 Phonetic",2,"Tsuchi, Tsuchihen",ゾウ、ま-す、ふ-える、ふ-やす,,1,zoo,1088,1,increase,3,2,"ma(su), fu(eru), fu(yasu)",7,"increase, add to, augment, gain; promote (health); enlarge, extend ",1981
1257,憎,14,7,"形声 Phonetic",2,"Kokoro, Risshinben, Shitagokoro",ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,,1,zoo,1969,2,"hate, detest",4,1,"niku(mu), niku(i), niku(rashii), niku(shimi)",9,"hate, detest. hateful, abominable; poor-looking. horrible, provoking. hatred, enmity ",1981
1258,蔵,15,6,"形声 Phonetic",2,Kusakanmuri,ゾウ、くら,,1,zoo,5182,8,"storehoure, warehouse, godown; cellar; depository, treasury; granary, elevator",1,1,kura,8,"storehoure, warehouse, godown; cellar; depository, treasury; granary, elevator",1981
1259,贈,18,7,"形声 Phonetic",2,"Kai, Kaihen",ゾウ、[ソウ]、おく-る,,2,"zoo, [soo]",5827,1,"present (something)",1,1,oku(ru),4,"send, give to, award to, confer on",1981
1260,臓,19,6,"形声 Phonetic",2,"Niku, Nikuzuki",ゾウ,,1,zoo,4886,2,"viscera, bowels",0,0,-,0,-,1981
1261,即,7,7,"会意 Com. Ideographic",1,"Fushizukuri, Warifu",ソク,すなわ、つ,1,soku,633,2,"namely, as is",0,0,-,0,-,1981
1262,束,7,4,"象形 Pictographic",2,"Ki, Kihen",ソク、たば,つか、づか,1,soku,2559,3,"bundle, sheaf, ream (of paper)",1,1,taba,4,"bundle, bunch, sheaf, coil",1981
1263,足,7,1,"象形 Pictographic",3,"Ashi, Ashihen",ソク、あし、た-りる、た-る、た-す,ス,1,soku,5856,3,"foot; leg; counter for pairs of footwear",4,2,"ashi, ta(riru), ta(ru), ta(su)",32,"foot; leg; paw; flipper, tentacles, arms; walk, step, pace, speed; footing; draft (of a ship); foot (of a mountain); trace; deficit, shortage. money. be sufficient, suffice; serve, answer, will do (for something); be worth, deserve; be satisfied; qualify. add to, add up; make up for; make good; supply, supplement",1981
1264,促,9,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ソク、うなが-す,,1,soku,212,7,"urge, press, demand; stimulate; incite; quicken; invite (attention to)",1,1,unaga(su),7,"urge, press, demand; stimulate; incite; quicken; invite (attention to)",1981
1265,則,9,5,"会意 Com. Ideographic",2,"Katana, Rittoo",ソク,のっと、すなわ、のり,1,soku,487,6,"follow (precedent), be based on, go by; live up to; model after; be in accordance with",0,0,-,0,-,1981
1266,息,10,3,"会意 Com. Ideographic",2,"Kokoro, Risshinben, Shitagokoro",ソク、いき,むすこ、やす,1,soku,1850,2,"son; interest (on money)",1,1,iki,2,"breath, respiration",1981
1267,捉,10,7,"形声 Phonetic",-,Tehen,ソク、とら-える,,1,soku,2159,3,"catch, arrest, capture",1,1,tora(eru),3,"catch, arrest, capture",2010
1268,速,10,3,"形声 Phonetic",2,Shinnyoo,ソク、はや-い、はや-める、はや-まる、すみ-やか,,1,soku,6060,3,"speedy, prompt, swift",4,2,"haya(i), haya(meru), haya(maru), sumi(yaka)",8,"speedy, prompt, swift. hasten, precipitate, accelerate, expedite; advance (the date)",1981
1269,側,11,4,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",ソク、がわ,そば,1,soku,275,4,"lean to one side, oppose, look aside, regret",1,1,gawa,3,"a side; surroundings; (watch) case",1981
1270,測,12,5,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",ソク、はか-る,,1,soku,3244,7,"measure, gauge, weigh; fathom, sound; compute, estimate",1,1,haka(ru),7,"measure, gauge, weigh; fathom, sound; compute, estimate",1981
1271,俗,9,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ゾク,,1,zoku,220,7,"customs, manners; the world; worldliness; vulgarity; mundane things; the laity",0,0,-,0,-,1981
1272,族,11,3,"会意 Com. Ideographic",3,"Hoo, Hoohen",ゾク,,1,zoku,2399,5,"family, relatives, clan, tribe, race",0,0,-,0,-,1981
1273,属,12,5,"会意 Com. Ideographic",1,Shikabane,ゾク,ショク、つ,1,zoku,1430,2,"genus; subordinate official",0,0,-,0,-,1981
1274,賊,13,7,"会意 Com. Ideographic",1,"Kai, Kaihen",ゾク,,1,zoku,5801,3,"robber; rebel; traitor",0,0,-,0,-,1981
1275,続,13,4,"形声 Phonetic",2,"Ito, Itohen",ゾク、つづ-く、つづ-ける,,1,zoku,4500,2,"continuation, second series",2,1,"tsuzu(ku), tsuzu(keru)",2,"continue; be contiguous",1981
1276,卒,8,4,"象形 Pictographic",2,Juu,ソツ,,1,sotsu,615,3,"graduate, soldier, private",0,0,-,0,-,1981
1277,率,11,5,"象形 Pictographic",2,Gen,ソツ、リツ、ひき-いる,,2,"sotsu, 	ritsu",3618,7,"rate, percentage; proportion; coefficient, factor; constant; index",1,1,hiki(iru),3,"lead, spearhead (a group), command (troops)",1981
1278,存,6,6,"会意 Com. Ideographic",2,"Ko, Kohen",ソン、ゾン,,2,"son, 	zon",1284,6,"know, be aware of, be acquainted with; think, believe, feel",0,0,-,0,-,1981
1279,村,7,1,"形声 Phonetic",2,"Ki, Kihen",ソン、むら,,1,son,2564,2,"village, hamlet",1,1,mura,2,"village, hamlet",1981
1280,孫,10,4,"会意 Com. Ideographic",2,"Ko, Kohen",ソン、まご,,1,son,1296,1,descendants,1,1,mago,1,grandchild,1981
1281,尊,12,6,"会意 Com. Ideographic",2,Sun,ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,みこと,1,son,1386,6,"value, prize, esteem; respect, honor, revere",4,2,"tatto(i), tooto(i), tatto(bu), tooto(bu)",12,"value, prize, esteem; respect, honor, revere; valuable, precious; noble, exalted, priceless, sacred",1981
1282,損,13,5,"会意 Com. Ideographic",2,Tehen,ソン、そこ-なう、そこ-ねる,,1,son,2255,3,"loss; disadvantage, handicap",2,1,"soko(nau), soko(neru)",7,"harm, hurt, injure, damage, mar; lose, oppress",1981
1283,遜,14,7,"形声 Phonetic",-,Shinnyoo,ソン,へりくだ,1,son,6098,3,"humble oneself, condescend, be modest",0,0,-,0,-,2010
1284,他,5,3,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",タ、ほか,,1,ta,122,6,"another, the other, others, another thing; the rest; another place",1,1,hoka,3,"some other place; outside; the rest",1981
1285,多,6,2,"会意 Com. Ideographic",3,Yuube,タ、おお-い,,1,ta,1127,1,much,1,1,oo(i),5,"many; copious, abundant; much; frequent",1981
1286,汰,7,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",タ,,1,ta,3055,2,"luxury; select",0,0,-,0,-,2010
1287,打,5,3,"会意 Com. Ideographic",2,Tehen,ダ、う-つ,チョウ,1,da,2063,1,striking,1,1,u(tsu),26,"strike, hit, beat, knock, slap, punch, thrash, smite; clap (one's hands); beat (a drum); ring (a bell); (clocks) strike; impress, touch; shoot; pound in (a nail); water, sprinkle; braid; play (checkers); till (the soil); temper (a sword); prepare (buckwheat noodles); present (a play); cast (a net); pay (earnest money) ",1981
1288,妥,7,7,"会意 Com. Ideographic",1,"Onna, Onnahen",ダ,,1,da,1188,2,"peace; depravity",0,0,-,0,-,1981
1289,唾,11,7,"形声 Phonetic",-,"Kuchi, Kuchihen",ダ、つば,,1,da,826,2,"sputum; saliva",1,1,tsuba,2,"sputum; saliva",2010
1290,堕,12,7,"形声 Phonetic",1,"Tsuchi, Tsuchihen",ダ,お,1,da,1033,3,"descend to, lapse into, degenerate",0,0,-,0,-,1981
1291,惰,12,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",ダ,,1,da,1921,1,laziness,0,0,-,0,-,1981
1292,駄,14,7,"形声 Phonetic",1,"Uma, Umahen",ダ,タ,1,da,6734,3,"horse load; pack horse; sending by horses",0,0,-,0,-,1981
1293,太,4,2,"形声 Phonetic",2,Dai,タイ、タ、ふと-い、ふと-る,,2,"tai, 	ta",1137,3,"get fat, gain, fill out",2,1,"futo(i), futo(ru)",12,"get fat, gain, fill out. big, thick, burly, fat; deep, sonorous (voice); shameless, audacious, insolent",1981
1294,対,7,3,"会意 Com. Ideographic",2,Sun,タイ、ツイ,,2,"tai, 	tsui",1375,12,"the opposite; antonym; even, equal; versus; (score of three) to (one); counter-, anti-, versus. pair, couple, set ",0,0,-,0,-,1981
1295,体,7,2,"形声 Phonetic",3,"Hito, Ninben, Hitoyane",タイ、テイ、からだ,,2,"tai, 	tei",165,11,"the body; substance, object; reality; style, form; image counter. appearance, air; condition, state",1,1,karada,2,"body, health",1981
1296,耐,9,7,"会意 Com. Ideographic",1,Shikashite,タイ、た-える,,1,tai,4705,1,enduring,1,1,ta(eru),8,"endure; support; withstand, resist, brave, weather; be fit for, be equal to",1981
1297,待,9,3,"形声 Phonetic",3,Gyooninben,タイ、ま-つ,,1,tai,1741,1,waiting,1,1,ma(tsu),7,"wait, wait for; expect, watch for; depend on; treat, deal with",1981
1298,怠,9,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",タイ、おこた-る、なま-ける,,1,tai,1818,2,"laziness, neglect",2,2,"okota(ru), nama(keru)",5,"neglect; be off guard; be feeling better. be lazy, be idle",1981
1299,胎,9,7,"形声 Phonetic",1,"Niku, Nikuzuki",タイ,,1,tai,4789,2,"womb, uterus",0,0,-,0,-,1981
1300,退,9,5,"会意 Com. Ideographic",2,Shinnyoo,タイ、しりぞ-く、しりぞ-ける,び,1,tai,6040,4,"retreat, withdraw; retire, resign",2,1,"shirizo(ku), shirizo(keru)",11,"retreat, withdraw; retire, resign. repel, drive away, expel; depose; keep away; reject, turn down",1981
1301,帯,10,4,"象形 Pictographic",2,"Haba, Kinben",タイ、お-びる、おび,,1,tai,1563,2,"belt; zone",2,2,"o(biru), obi",13,"belt, sash, girdle, band; belting. wear (at the belt), carry, be armed with; be entrusted with; assume, take on (the character of), be tinged with; gird up (one’s loins)",1981
1302,泰,10,7,"会意 Com. Ideographic",1,"Mizu, Sanzui, Shitamizu",タイ,やす,1,tai,3098,5,"calm ,peace; easy; large, wide",0,0,-,0,-,1981
1303,堆,11,7,"形声 Phonetic",-,"Tsuchi, Tsuchihen",タイ,ツイ、うずたか,1,tai,1035,1,"piled high",0,0,-,0,-,2010
1304,袋,11,7,"形声 Phonetic",2,"Koromo, Koromohen",タイ、ふくろ,,1,tai,5443,2,"bag; bag counter",1,1,fukuro,3,"bag, sack, pouch",1981
1305,逮,11,7,"形声 Phonetic",1,Shinnyoo,タイ,,1,tai,6069,1,chase,0,0,-,0,-,1981
1306,替,12,7,"会意 Com. Ideographic",2,Hirabi,タイ、か-える、か-わる,,1,tai,2486,7,"change, turn, convert, exchange, renew, substitute, replace ",2,1,"ka(eru), ka(waru)",8,"change, turn, convert, exchange, renew, substitute, replace. relieve",1981
1307,貸,12,5,"形声 Phonetic",3,"Kai, Kaihen",タイ、か-す,,1,tai,5792,5,"lend; hire out, rent, lease; give credit to ",1,1,ka(su),5,"lend; hire out, rent, lease; give credit to ",1981
1308,隊,12,4,"会意 Com. Ideographic",1,Kozatohen,タイ,,1,tai,6468,9,"party, company, corps, squad, crew, band, posse, force, unit",0,0,-,0,-,1981
1309,滞,13,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",タイ、とどこお-る,,1,tai,3280,1,stopping,1,1,todokoo(ru),5,"stagnate; be delayed, be left undone; be overdue, fall into arrears",1981
1310,態,14,5,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",タイ,わざ,1,tai,1947,4,"condition, figure, appearance; voice (of verbs)",0,0,-,0,-,1981
1311,戴,17,7,"形声 Phonetic",-,"Hokogamae, Hokozukuri",タイ,いただ,1,tai,2045,10,"be crowned with, wear; live under (a ruler); install ( a president); receive, accept; buy; take, eat, drink (humble) ",0,0,-,0,-,2010
1312,大,3,1,"象形 Pictographic",4,Dai,ダイ、タイ、おお、おお-きい、おお-いに,ダ,2,"dai, 	tai",1133,9,"large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success",3,1,"oo, oo(kii), oo(ini)",15,"large, great, grand, mighty, immense; severe; heavy. very, much, greatly, exceedingly. heavy (rain); loud (voice); full-size, life-size",1981
1313,代,5,3,"形声 Phonetic",3,"Hito, Ninben, Hitoyane",ダイ、タイ、か-わる、か-える、よ、しろ,,2,"dai, 	tai",125,8,"period, age, generation; charge, rate, fee, cost, price",4,3,"ka(waru), ka(eru), yo, shiro",22,"world, society, public; life, existence, career, lifetime; age, era, generation, times; reign. change, turn, convert, exchange, renew, substitute, replace. relieve. price; substitution",1981
1314,台,5,2,"会意 Com. Ideographic",3,"Kuchi, Kuchihen",ダイ、タイ,うてな,2,"dai, 	tai",699,11,"stand, pedestal, rack, table, dais, bench, block; holder, support; mounting, setting",0,0,-,0,-,1981
1315,第,11,3,"形声 Phonetic",2,"Take, Takekanmuri",ダイ,,1,dai,4272,2,"residence. number (1, 2, 3, etc.)",0,0,-,0,-,1981
1316,題,18,3,"形声 Phonetic",3,Oogai,ダイ,,1,dai,6645,8,"subject, theme, topic; title, caption, heading; question, problem",0,0,-,0,-,1981
1317,滝,13,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",たき,,0,-,3273,0,-,1,1,taki,3,"waterfall; rapids, cascade",1981
1318,宅,6,6,"形声 Phonetic",2,Ukanmuri,タク,,1,taku,1308,5,"home, house, residence; our home; my husband",0,0,-,0,-,1981
1319,択,7,7,"形声 Phonetic",1,Tehen,タク,えら,1,taku,2082,6,"choose, select; cull out; elect; prefer; decide on",0,0,-,0,-,1981
1320,沢,7,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",タク、さわ,,1,taku,3062,2,"swamp; blessing",1,1,sawa,4,"swamp, marsh, dale, valley",1981
1321,卓,8,7,"象形 Pictographic",1,Juu,タク,,1,taku,616,3,"table, desk; high",0,0,-,0,-,1981
1322,拓,8,7,"形声 Phonetic",1,Tehen,タク,ひら,1,taku,2115,3,"open, clear, break up (land)",0,0,-,0,-,1981
1323,託,10,7,"形声 Phonetic",1,"Gon, Gonben",タク,かこつ,1,taku,5560,2,"requesting, entrusting with",0,0,-,0,-,1981
1324,濯,17,7,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",タク,あら,1,taku,3360,3,"wash, pour on, rinse",0,0,-,0,-,1981
1325,諾,15,7,"形声 Phonetic",1,"Gon, Gonben",ダク,,1,daku,5638,3,"assent, consent, agreement",0,0,-,0,-,1981
1326,濁,16,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",ダク、にご-る、にご-す,ジョク,1,daku,3348,9,"uncleanness; wrong; muddiness, impurity; voicing marks; voiced sound, voiced consonant; unrefined sake",2,1,"nigo(ru), nigo(su)",8,"be muddy, be impure; be voiced; be vague. make muddy, make cloudy; quibble; prevaricate ",1981
1327,但,7,7,"形声 Phonetic",-,"Hito, Ninben, Hitoyane",ただ-し,タン、た,0,-,154,0,-,1,1,tada(shi),3,"but, however, excepting that",1981
1328,達,12,4,"形声 Phonetic",2,Shinnyoo,タツ,ダチ、ダッ,1,tatsu,6088,8,"reach, arrive at, attain; amount to; become expert, be versed in; accomplish; notify",0,0,-,0,-,1981
1329,脱,11,7,"形声 Phonetic",1,"Niku, Nikuzuki",ダツ、ぬ-ぐ、ぬ-げる,,1,datsu,4822,1,removing,2,1,"nu(gu), nu(geru)",5,"take off (clothes); undress. come off, slip off, slip down",1981
1330,奪,14,7,"会意 Com. Ideographic",1,Dai,ダツ、うば-う,,1,datsu,1171,9,"take by force, snatch away, oust, deprive of, disposess, plunder, usurp; absorb (attention); fascinate",1,1,uba(u),3,"take by force, deprive of, disposess",1981
1331,棚,12,7,"形声 Phonetic",1,"Ki, Kihen",たな,,0,-,2748,0,-,1,1,tana,7,"shelf, ledge, rack, mount, mantelpiece; trellis, lattice",1981
1332,誰,15,7,"形声 Phonetic",1,"Gon, Gonben",だれ,スイ,0,-,5642,0,-,1,1,dare,1,who,2010
1333,丹,4,7,"象形 Pictographic",1,Ten,タン,に,1,tan,36,3,"red, red lead; pills",0,0,-,0,-,1981
1334,旦,5,7,"象形 Pictographic",1,"Nichi, Nichihen",タン、ダン,,1,"tan, dan",2411,2,"dawn, early moring",0,0,-,0,-,2010
1335,担,8,6,"形声 Phonetic",2,Tehen,タン、かつ-ぐ、にな-う,,1,tan,2121,2,"carry; raise",2,2,"katsu(gu), nina(u)",3,"shoulder (a load). carry on the shoulder; bear a burden",1981
1336,単,9,4,"象形 Pictographic",2,Tsukanmuri,タン,ひとえ,1,tan,620,5,"one, single, simple, singular, individual",0,0,-,0,-,1981
1337,炭,9,3,"会意 Com. Ideographic",2,"Hi, Hihen, Renga",タン、すみ,,1,tan,3413,2,"charcoal; coal",1,1,sumi,1,charcoal,1981
1338,胆,9,7,"形声 Phonetic",1,"Niku, Nikuzuki",タン,きも、ぎも,1,tan,4790,2,"gall bladder; courage",0,0,-,0,-,1981
1339,探,11,6,"形声 Phonetic",2,Tehen,タン、さぐ-る、さが-す,,1,tan,2211,6,"search, look for; explore; spy upon, sound out; probe (a wound)",2,2,"sagu(ru), saga(su)",6,"search, look for; explore; spy upon, sound out; probe (a wound)",1981
1340,淡,11,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",タン、あわ-い,,1,tan,3202,5,"light, faint, pale, fleeting; a little",1,1,awa(i),5,"light, faint, pale, fleeting; a little",1981
1341,短,12,3,"形声 Phonetic",2,"Ya, Yahen",タン、みじか-い,,1,tan,3982,6,"shortness, brevity; fault, defect, demerit, weak point",1,1,mijika(i),2,"short, brief",1981
1342,嘆,13,7,"形声 Phonetic",1,"Kuchi, Kuchihen",タン、なげ-く、なげ-かわしい,,1,tan,872,1,sigh,2,1,"nage(ku), nage(kawashii)",10,"sigh, lament, moan, grieve; regret, deplore, sorrow. sad, wretched, deplorable",1981
1343,端,14,7,"形声 Phonetic",1,Tatsu,タン、はし、は、はた,ただ,1,tan,4243,3,"origin; end; point",3,3,"hashi, ha, hata",9,"end, tip; edge, border, one side; corner; beginning; scrap of cloth. side",1981
1344,綻,14,7,"形声 Phonetic",-,"Ito, Itohen",タン、ほころ-びる,,1,tan,4514,6,"be rent, be ripped; unravel, run; begin to open; smile",1,1,hokoro(biru),6,"be rent, be ripped; unravel, run; begin to open; smile",2010
1345,誕,15,6,"形声 Phonetic",1,"Gon, Gonben",タン,,1,tan,5640,4,"be born; deceive; lie; be arbitrary",0,0,-,0,-,1981
1346,鍛,17,7,"形声 Phonetic",1,"Kane, Kanehen",タン、きた-える,,1,tan,6318,5,"forge, temper; drill, train, practice",1,1,kita(eru),5,"forge, temper; drill, train, practice",1981
1347,団,6,5,"形声 Phonetic",2,Kunigamae,ダン、[トン],,2,"dan, [ton]",940,8,"body, group, corps, gang, party, company, troupe; circle",0,0,-,0,-,1981
1348,男,7,1,"会意 Com. Ideographic",4,"Ta, Tahen",ダン、ナン、おとこ,,2,"dan, 	nan",3731,4,"man, male; baron. counter for sons",1,1,otoko,7,"man, male; fellow; adult; manhood; male servant; paramour",1981
1349,段,9,6,"会意 Com. Ideographic",2,Rumata,ダン,タン,1,dan,2991,15,"steps, stair, flight of stairs; column; paragraph; act, scene; case, question; grade, class, rank, level; degree, extent ",0,0,-,0,-,1981
1350,断,11,5,"会意 Com. Ideographic",2,"Kin, Onozukuri",ダン、た-つ、ことわ-る,,1,dan,2385,3,"decision, judgment; cutting",2,2,"ta(tsu), kotowa(ru)",14,"sever, cut off; shut off, interrupt; abstain from; eradicate; suppress. decline, refuse; apologize; give notice; warn; dismiss; prohibit ",1981
1351,弾,12,7,"形声 Phonetic",1,"Yumi, Yumihen",ダン、ひ-く、はず-む、たま,はじ,1,dan,1699,1,bullet,3,3,"hi(ku), hazu(mu), tama",12,"play on. spring, bound, rebound; be inspired, be spurred on; invest in; be generous (in tipping); breathe with difficulty. bullet, shot, shell ",1981
1352,暖,13,6,"形声 Phonetic",2,"Nichi, Nichihen",ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,ノン,1,dan,2502,1,warmth,4,1,"atata(ka), atata(kai), atata(maru), atata(meru)",8,"warm, heat. warm oneself, sun oneself, get warm. mild, genial, cordial ",1981
1353,談,15,3,"形声 Phonetic",2,"Gon, Gonben",ダン,,1,dan,5643,2,"conversation, talk",0,0,-,0,-,1981
1354,壇,16,7,"形声 Phonetic",1,"Tsuchi, Tsuchihen",ダン、[タン],,2,"dan, [tan]",1101,6,"stage, rostrum, dais; terrace; altar; world (of literature, etc.)",0,0,-,0,-,1981
1355,地,6,2,"形声 Phonetic",3,"Tsuchi, Tsuchihen",チ、ジ,,2,"chi, 	ji",976,22,"earth, land, ground, the surface of the earth; soil; place, region; territory; room, space; position; site; foundation. texture, weave, fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact",0,0,-,0,-,1981
1356,池,6,2,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",チ、いけ,,1,chi,3042,5,"pond, pool, cistern, basin, reservoir",1,1,ike,5,"pond, pool, cistern, basin, reservoir",1981
1357,知,8,2,"会意 Com. Ideographic",3,"Ya, Yahen",チ、し-る,,1,chi,3978,3,"know, acquaintance, sense",1,1,shi(ru),11,"know; understand; appreciate recognize; realize; notice, sense, feel; remember; infer, gather; be concerned with",1981
1358,値,10,6,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",チ、ね、あたい,ジ,1,chi,257,3,"price, cost, value",2,2,"ne, atai",3,"price, cost, value",1981
1359,恥,10,7,"会意 Com. Ideographic",2,"Kokoro, Risshinben, Shitagokoro",チ、は-じる、はじ、は-じらう、は-ずかしい,,1,chi,1846,5,"shame, dishonor, disgrace, humiliation, insult ",4,2,"ha(jiru), haji, ha(jirau), ha(zukashii)",15,"shame, dishonor, disgrace, humiliation, insult. feel ashamed. feel shy, be coy, be bashful, blush. bashful, ashamed, coy; disgraceful, shameful",1981
1360,致,10,7,"会意 Com. Ideographic",1,Itaru,チ、いた-す,,1,chi,4904,9,"do; send, forward; incur, cause; render (assistance); exert (oneself); engage, call in (a doctor)",1,1,ita(su),9,"do; send, forward; incur, cause; render (assistance); exert (oneself); engage, call in (a doctor)",1981
1361,遅,12,7,"形声 Phonetic",2,Shinnyoo,チ、おく-れる、おく-らす、おそ-い,,1,chi,6089,5,"be late, be delayed, be overdue; lag behind; (clocks) lose",3,2,"oku(reru), oku(rasu), oso(i)",10,"be late, be delayed, be overdue; lag behind; (clocks) lose. retard, delay, defer. late; slow ",1981
1362,痴,13,7,"会意 Com. Ideographic",1,Yamaidare,チ,,1,chi,3823,1,foolish,0,0,-,0,-,1981
1363,稚,13,7,"形声 Phonetic",1,"Nogi, Nogihen",チ,いと、わか,1,chi,4154,1,young,0,0,-,0,-,1981
1364,置,13,4,"形声 Phonetic",2,Amigashira,チ、お-く,,1,chi,4645,17,"place, put, set, deposit, lay; leave behind; keep, have, leave; establish; employ; appoint; post, station; pawn; skip (one day). be formed (dew)",1,1,o(ku),17,"place, put, set, deposit, lay; leave behind; keep, have, leave; establish; employ; appoint; post, station; pawn; skip (one day). be formed (dew)",1981
1365,緻,16,7,"形声 Phonetic",-,"Ito, Itohen",チ,,1,chi,4543,1,"fine (not coarse)",0,0,-,0,-,2010
1366,竹,6,1,"象形 Pictographic",2,"Take, Takekanmuri",チク、たけ,,1,chiku,4246,1,bamboo,1,1,take,2,"bamboo; bamboo wind instrument",1981
1367,畜,10,7,"会意 Com. Ideographic",2,"Ta, Tahen",チク,,1,chiku,3749,1,"domesticated fowl and animals",0,0,-,0,-,1981
1368,逐,10,7,"会意 Com. Ideographic",1,Shinnyoo,チク,お,1,chiku,6056,5,"drive away; chase; drive (cattle); follow, pursue (pleasure)",0,0,-,0,-,1981
1369,蓄,13,7,"形声 Phonetic",1,Kusakanmuri,チク、たくわ-える,,1,chiku,5161,3,"store, hoard, savings",1,1,takuwa(eru),4,"store, lay in stock, save, wear (a mustache)",1981
